condition,round_id,num_agents,total_contribution,average_contribution,std_contribution,average_payoff,std_payoff,average_prediction_error,num_predictions
llm_notom_mixed,1,30,180,6,2.5325,13.6,2.5325,1.8927,261
llm_notom_mixed,2,30,156,5.2,2.8575,13.12,2.8575,1.5483,290
llm_notom_mixed,3,30,155,5.1667,2.6008,13.1,2.6008,1.5879,290
llm_notom_mixed,4,30,166,5.5333,2.5289,13.32,2.5289,1.0717,290
llm_notom_mixed,5,30,175,5.8333,2.4925,13.5,2.4925,0.8569,290
llm_notom_mixed,6,30,156,5.2,2.4969,13.12,2.4969,0.8655,290
llm_notom_mixed,7,30,169,5.6333,2.4138,13.38,2.4138,0.9999,290
llm_notom_mixed,8,30,163,5.4333,2.2234,13.26,2.2234,0.5761,290
llm_notom_mixed,9,30,154,5.1333,2.4031,13.08,2.4031,1.0408,290
llm_notom_mixed,10,30,158,5.2667,2.6644,13.16,2.6644,1.1537,290
llm_notom_mixed,11,30,157,5.2333,2.1605,13.14,2.1605,0.8189,290
llm_notom_mixed,12,30,162,5.4,2.2376,13.24,2.2376,0.8516,290
llm_notom_mixed,13,30,154,5.1333,2.5152,13.08,2.5152,1.328,290
llm_notom_mixed,14,30,151,5.0333,2.1573,13.02,2.1573,0.6845,290
llm_notom_mixed,15,30,169,5.6333,2.5929,13.38,2.5929,1.2387,290
llm_notom_mixed,16,30,153,5.1,2.3245,13.06,2.3245,1.0398,290
llm_notom_mixed,17,30,165,5.5,2.8376,13.3,2.8376,0.8949,290
llm_notom_mixed,18,30,147,4.9,2.4403,12.94,2.4403,1.0278,290
llm_notom_mixed,19,30,148,4.9333,2.5989,12.96,2.5989,1.1533,290
llm_notom_mixed,20,30,173,5.7667,2.5282,13.46,2.5282,1.0243,290
llm_notom_mixed,21,30,161,5.3667,2.498,13.22,2.498,1.0857,290
llm_notom_mixed,22,30,146,4.8667,2.5829,12.92,2.5829,1.1352,290
llm_notom_mixed,23,30,158,5.2667,2.3479,13.16,2.3479,0.9193,290
llm_notom_mixed,24,30,156,5.2,2.4691,13.12,2.4691,1.1199,290
llm_notom_mixed,25,30,155,5.1667,2.7428,13.1,2.7428,0.9718,290
llm_notom_mixed,26,30,161,5.3667,2.1891,13.22,2.1891,1.0113,290
llm_notom_mixed,27,30,157,5.2333,2.622,13.14,2.622,0.9441,290
llm_notom_mixed,28,30,151,5.0333,2.6972,13.02,2.6972,1.0644,290
llm_notom_mixed,29,30,149,4.9667,2.4138,12.98,2.4138,0.7833,290
llm_notom_mixed,30,30,156,5.2,2.4969,13.12,2.4969,0.8019,290
llm_notom_mixed,31,30,153,5.1,2.0902,13.06,2.0902,0.8896,290
llm_notom_mixed,32,30,159,5.3,2.2614,13.18,2.2614,0.6411,290
llm_notom_mixed,33,30,154,5.1333,2.345,13.08,2.345,1.0214,290
llm_notom_mixed,34,30,170,5.6667,2.3973,13.4,2.3973,0.8664,290
llm_notom_mixed,35,30,161,5.3667,2.3265,13.22,2.3265,0.9324,290
llm_notom_mixed,36,30,169,5.6333,2.428,13.38,2.428,0.9324,290
llm_notom_mixed,37,30,153,5.1,2.4262,13.06,2.4262,0.9039,290
llm_notom_mixed,38,30,168,5.6,2.4719,13.36,2.4719,1.0816,290
llm_notom_mixed,39,30,162,5.4,2.4155,13.24,2.4155,0.847,290
llm_notom_mixed,40,30,153,5.1,2.4824,13.06,2.4824,1.2333,290
llm_notom_mixed,41,30,162,5.4,2.8235,13.24,2.8235,1.0645,290
llm_notom_mixed,42,30,160,5.3333,2.3829,13.2,2.3829,1.0869,290
llm_notom_mixed,43,30,154,5.1333,2.4877,13.08,2.4877,1.0112,290
llm_notom_mixed,44,30,150,5,2.4354,13.0,2.4354,1.0036,290
llm_notom_mixed,45,30,156,5.2,2.4969,13.12,2.4969,0.9402,290
llm_notom_mixed,46,30,154,5.1333,2.5015,13.08,2.5015,1.1117,290
llm_notom_mixed,47,30,150,5,2.3925,13.0,2.3925,0.8168,290
llm_notom_mixed,48,30,142,4.7333,2.1485,12.84,2.1485,0.9851,290
llm_notom_mixed,49,30,151,5.0333,2.8826,13.02,2.8826,1.1865,290
llm_notom_mixed,50,30,165,5.5,2.5427,13.3,2.5427,1.0791,290
llm_notom_mixed,51,30,165,5.5,2.7761,13.3,2.7761,1.176,290
llm_notom_mixed,52,30,169,5.6333,2.8099,13.38,2.8099,1.0372,290
llm_notom_mixed,53,30,176,5.8667,2.5962,13.52,2.5962,0.9538,290
