condition,agent_id,agent_type,average_contribution,std_contribution,average_payoff,std_payoff,average_prediction_error,num_predictions,num_api_errors
belief_mixed,A001,BeliefBasedAgent,2.13,0.9421,10.9113,0.7,0.5631,5800,0
belief_mixed,A002,BeliefBasedAgent,2.14,0.967,10.9013,0.739,0.5621,5800,0
belief_mixed,A003,ConditionalAgent,2.095,0.8659,10.9463,0.7956,,0,0
belief_mixed,A004,TitForTatAgent,2.12,0.5542,10.9213,0.3152,,0,0
belief_mixed,A005,DefectorAgent,0.98,0.8385,12.0613,1.0481,,0,0
belief_mixed,A006,BeliefBasedAgent,2.095,0.9111,10.9463,0.7491,0.5635,5800,0
belief_mixed,A007,BeliefBasedAgent,2.1,0.9823,10.9413,0.6989,0.5618,5800,0
belief_mixed,A008,ConditionalAgent,2.165,1.0114,10.8763,0.8292,,0,0
belief_mixed,A009,TitForTatAgent,2.12,0.5542,10.9213,0.3152,,0,0
belief_mixed,A010,DefectorAgent,0.97,0.8139,12.0713,1.0167,,0,0
belief_mixed,A011,BeliefBasedAgent,2.265,0.9948,10.7763,0.6901,0.5635,5800,0
belief_mixed,A012,BeliefBasedAgent,2.165,0.9604,10.8763,0.7988,0.5618,5800,0
belief_mixed,A013,ConditionalAgent,2.09,0.9361,10.9513,0.8247,,0,0
belief_mixed,A014,TitForTatAgent,2.11,0.4786,10.9313,0.3614,,0,0
belief_mixed,A015,DefectorAgent,0.905,0.8242,12.1363,1.1182,,0,0
belief_mixed,A016,BeliefBasedAgent,2.13,0.9367,10.9113,0.7378,0.5634,5800,0
belief_mixed,A017,BeliefBasedAgent,2.12,0.9645,10.9213,0.696,0.5632,5800,0
belief_mixed,A018,ConditionalAgent,2.18,0.9603,10.8613,0.7076,,0,0
belief_mixed,A019,TitForTatAgent,2.115,0.5129,10.9263,0.3316,,0,0
belief_mixed,A020,DefectorAgent,0.95,0.7814,12.0913,1.0769,,0,0
belief_mixed,A021,BeliefBasedAgent,2.145,0.9584,10.8963,0.7248,0.5632,5800,0
belief_mixed,A022,BeliefBasedAgent,2.165,0.9964,10.8763,0.6448,0.5645,5800,0
belief_mixed,A023,ConditionalAgent,2.1,0.9351,10.9413,0.7561,,0,0
belief_mixed,A024,TitForTatAgent,2.11,0.4786,10.9313,0.3614,,0,0
belief_mixed,A025,DefectorAgent,1.015,0.7987,12.0263,1.0055,,0,0
belief_mixed,A026,BeliefBasedAgent,2.17,0.9516,10.8713,0.7609,0.5638,5800,0
belief_mixed,A027,BeliefBasedAgent,2.15,0.9655,10.8913,0.75,0.5634,5800,0
belief_mixed,A028,ConditionalAgent,2.17,0.9084,10.8713,0.7665,,0,0
belief_mixed,A029,TitForTatAgent,2.11,0.4786,10.9313,0.3614,,0,0
belief_mixed,A030,DefectorAgent,0.945,0.797,12.0963,1.0691,,0,0
