condition,round_id,num_agents,total_contribution,average_contribution,std_contribution,average_payoff,std_payoff,average_prediction_error,num_predictions
belief_mixed,1,30,159,5.3,2.152,13.18,2.152,1.7184,348
belief_mixed,2,30,134,4.4667,2.1292,12.68,2.1292,1.2299,348
belief_mixed,3,30,113,3.7667,1.5466,12.26,1.5466,1.3017,348
belief_mixed,4,30,112,3.7333,1.2847,12.24,1.2847,1.0456,348
belief_mixed,5,30,115,3.8333,1.2058,12.3,1.2058,0.773,348
belief_mixed,6,30,108,3.6,1.5669,12.16,1.5669,0.7799,348
belief_mixed,7,30,104,3.4667,1.4794,12.08,1.4794,0.8171,348
belief_mixed,8,30,101,3.3667,1.3257,12.02,1.3257,0.8565,348
belief_mixed,9,30,83,2.7667,1.3309,11.66,1.3309,1.4412,348
belief_mixed,10,30,89,2.9667,1.5421,11.78,1.5421,1.2029,348
belief_mixed,11,30,81,2.7,1.442,11.62,1.442,1.0286,348
belief_mixed,12,30,88,2.9333,1.3113,11.76,1.3113,0.6971,348
belief_mixed,13,30,83,2.7667,1.4308,11.66,1.4308,0.8507,348
belief_mixed,14,30,83,2.7667,1.278,11.66,1.278,0.7487,348
belief_mixed,15,30,62,2.0667,1.0483,11.24,1.0483,0.9673,348
belief_mixed,16,30,49,1.6333,0.6687,10.98,0.6687,1.3916,348
belief_mixed,17,30,54,1.8,0.7611,11.08,0.7611,1.1203,348
belief_mixed,18,30,49,1.6333,0.7649,10.98,0.7649,1.0631,348
belief_mixed,19,30,48,1.6,0.7701,10.96,0.7701,0.8762,348
belief_mixed,20,30,57,1.9,0.7589,11.14,0.7589,0.7707,348
belief_mixed,21,30,52,1.7333,0.7849,11.04,0.7849,0.5588,348
belief_mixed,22,30,49,1.6333,0.8087,10.98,0.8087,0.6803,348
belief_mixed,23,30,46,1.5333,0.8193,10.92,0.8193,0.4663,348
belief_mixed,24,30,55,1.8333,0.6989,11.1,0.6989,0.4638,348
belief_mixed,25,30,53,1.7667,0.8976,11.06,0.8976,0.5259,348
belief_mixed,26,30,48,1.6,0.724,10.96,0.724,0.5537,348
belief_mixed,27,30,57,1.9,0.8449,11.14,0.8449,0.5859,348
belief_mixed,28,30,56,1.8667,0.6814,11.12,0.6814,0.3469,348
belief_mixed,29,30,48,1.6,0.9322,10.96,0.9322,0.541,348
belief_mixed,30,30,48,1.6,0.855,10.96,0.855,0.3309,348
belief_mixed,31,30,51,1.7,0.7022,11.02,0.7022,0.5638,348
belief_mixed,32,30,54,1.8,0.6103,11.08,0.6103,0.4261,348
belief_mixed,33,30,51,1.7,0.7944,11.02,0.7944,0.5588,348
belief_mixed,34,30,52,1.7333,0.9444,11.04,0.9444,0.4607,348
belief_mixed,35,30,53,1.7667,0.7739,11.06,0.7739,0.469,348
belief_mixed,36,30,57,1.9,0.712,11.14,0.712,0.562,348
belief_mixed,37,30,56,1.8667,0.7303,11.12,0.7303,0.4623,348
belief_mixed,38,30,50,1.6667,0.7112,11.0,0.7112,0.4968,348
belief_mixed,39,30,58,1.9333,0.5833,11.16,0.5833,0.38,348
belief_mixed,40,30,53,1.7667,0.7739,11.06,0.7739,0.4974,348
belief_mixed,41,30,56,1.8667,0.8604,11.12,0.8604,0.5967,348
belief_mixed,42,30,48,1.6,0.855,10.96,0.855,0.6016,348
belief_mixed,43,30,52,1.7333,0.8277,11.04,0.8277,0.6047,348
belief_mixed,44,30,52,1.7333,0.8277,11.04,0.8277,0.5172,348
belief_mixed,45,30,55,1.8333,0.6477,11.1,0.6477,0.377,348
belief_mixed,46,30,50,1.6667,0.8841,11.0,0.8841,0.6807,348
belief_mixed,47,30,59,1.9667,0.8503,11.18,0.8503,0.549,348
belief_mixed,48,30,49,1.6333,0.7184,10.98,0.7184,0.4967,348
belief_mixed,49,30,56,1.8667,0.8604,11.12,0.8604,0.5232,348
belief_mixed,50,30,57,1.9,0.8449,11.14,0.8449,0.5882,348
belief_mixed,51,30,54,1.8,1.0306,11.08,1.0306,0.6045,348
belief_mixed,52,30,57,1.9,0.6618,11.14,0.6618,0.4623,348
belief_mixed,53,30,59,1.9667,0.7649,11.18,0.7649,0.5199,348
belief_mixed,54,30,56,1.8667,0.8604,11.12,0.8604,0.4833,348
belief_mixed,55,30,47,1.5667,0.9714,10.94,0.9714,0.5692,348
belief_mixed,56,30,57,1.9,0.712,11.14,0.712,0.3807,348
belief_mixed,57,30,54,1.8,0.7611,11.08,0.7611,0.4891,348
belief_mixed,58,30,52,1.7333,0.6915,11.04,0.6915,0.5628,348
belief_mixed,59,30,56,1.8667,0.8604,11.12,0.8604,0.5822,348
belief_mixed,60,30,47,1.5667,0.8172,10.94,0.8172,0.3904,348
belief_mixed,61,30,54,1.8,0.7611,11.08,0.7611,0.4468,348
belief_mixed,62,30,55,1.8333,0.9499,11.1,0.9499,0.58,348
belief_mixed,63,30,49,1.6333,0.7184,10.98,0.7184,0.4803,348
belief_mixed,64,30,54,1.8,0.6103,11.08,0.6103,0.3507,348
belief_mixed,65,30,50,1.6667,0.7112,11.0,0.7112,0.4582,348
belief_mixed,66,30,55,1.8333,0.6477,11.1,0.6477,0.5042,348
belief_mixed,67,30,61,2.0333,0.7649,11.22,0.7649,0.6265,348
belief_mixed,68,30,54,1.8,0.7611,11.08,0.7611,0.5914,348
belief_mixed,69,30,59,1.9667,0.8503,11.18,0.8503,0.5955,348
belief_mixed,70,30,52,1.7333,0.8277,11.04,0.8277,0.5778,348
belief_mixed,71,30,49,1.6333,1.0662,10.98,1.0662,0.6782,348
belief_mixed,72,30,49,1.6333,0.8503,10.98,0.8503,0.583,348
belief_mixed,73,30,56,1.8667,0.7303,11.12,0.7303,0.4093,348
belief_mixed,74,30,47,1.5667,0.8976,10.94,0.8976,0.576,348
belief_mixed,75,30,53,1.7667,0.6789,11.06,0.6789,0.447,348
belief_mixed,76,30,58,1.9333,0.8277,11.16,0.8277,0.4457,348
belief_mixed,77,30,56,1.8667,0.7761,11.12,0.7761,0.5882,348
belief_mixed,78,30,55,1.8333,0.8743,11.1,0.8743,0.5194,348
belief_mixed,79,30,56,1.8667,0.8996,11.12,0.8996,0.6151,348
belief_mixed,80,30,55,1.8333,0.7466,11.1,0.7466,0.4591,348
belief_mixed,81,30,53,1.7667,0.6261,11.06,0.6261,0.4547,348
belief_mixed,82,30,53,1.7667,0.8172,11.06,0.8172,0.4651,348
belief_mixed,83,30,51,1.7,0.9154,11.02,0.9154,0.6319,348
belief_mixed,84,30,44,1.4667,0.6814,10.88,0.6814,0.4926,348
belief_mixed,85,30,47,1.5667,0.8584,10.94,0.8584,0.7649,348
belief_mixed,86,30,57,1.9,0.5477,11.14,0.5477,0.4275,348
belief_mixed,87,30,55,1.8333,0.8339,11.1,0.8339,0.6122,348
belief_mixed,88,30,54,1.8,0.8469,11.08,0.8469,0.492,348
