condition,agent_id,agent_type,average_contribution,std_contribution,average_payoff,std_payoff,average_prediction_error,num_predictions,num_api_errors
baseline,A001,CooperatorAgent,8.485,1.1604,9.3113,1.192,,0,0
baseline,A002,DefectorAgent,1.05,0.8373,16.7463,0.9461,,0,0
baseline,A003,TitForTatAgent,4.925,0.3464,12.8713,0.4914,,0,0
baseline,A004,RandomAgent,5.045,3.292,12.7513,3.2253,,0,0
baseline,A005,ConditionalAgent,4.94,0.7134,12.8563,0.8079,,0,0
baseline,A006,CooperatorAgent,8.405,1.1302,9.3913,1.1175,,0,0
baseline,A007,DefectorAgent,1.135,0.7809,16.6613,0.8727,,0,0
baseline,A008,TitForTatAgent,4.925,0.3464,12.8713,0.4914,,0,0
baseline,A009,RandomAgent,5.11,3.1794,12.6863,3.0447,,0,0
baseline,A010,ConditionalAgent,5.11,0.7145,12.6863,0.8135,,0,0
baseline,A011,CooperatorAgent,8.515,1.1604,9.2813,1.2017,,0,0
baseline,A012,DefectorAgent,1.045,0.8871,16.7513,0.9077,,0,0
baseline,A013,TitForTatAgent,4.915,0.3135,12.8813,0.4952,,0,0
baseline,A014,RandomAgent,4.605,3.1953,13.1913,3.0543,,0,0
baseline,A015,ConditionalAgent,4.975,0.719,12.8213,0.8283,,0,0
baseline,A016,CooperatorAgent,8.375,1.1093,9.4213,1.1428,,0,0
baseline,A017,DefectorAgent,0.95,0.7814,16.8463,0.8701,,0,0
baseline,A018,TitForTatAgent,4.92,0.3227,12.8763,0.4882,,0,0
baseline,A019,RandomAgent,4.905,3.1409,12.8913,2.9963,,0,0
baseline,A020,ConditionalAgent,4.99,0.7366,12.8063,0.8554,,0,0
baseline,A021,CooperatorAgent,8.51,1.0656,9.2863,1.0501,,0,0
baseline,A022,DefectorAgent,0.99,0.8144,16.8063,0.9285,,0,0
baseline,A023,TitForTatAgent,4.915,0.3135,12.8813,0.4952,,0,0
baseline,A024,RandomAgent,5.065,3.0884,12.7313,2.9792,,0,0
baseline,A025,ConditionalAgent,5.015,0.7123,12.7813,0.7828,,0,0
baseline,A026,CooperatorAgent,8.49,1.1474,9.3063,1.1934,,0,0
baseline,A027,DefectorAgent,1.04,0.7884,16.7563,0.9086,,0,0
baseline,A028,TitForTatAgent,4.915,0.3135,12.8813,0.4952,,0,0
baseline,A029,RandomAgent,4.885,3.1242,12.9113,3.0097,,0,0
baseline,A030,ConditionalAgent,5.03,0.7011,12.7663,0.7791,,0,0
