condition,round_id,num_agents,total_contribution,average_contribution,std_contribution,average_payoff,std_payoff,average_prediction_error,num_predictions
baseline,100,30,149,4.9667,2.6972,12.98,2.6972,,0
baseline,101,30,129,4.3,2.8786,12.58,2.8786,,0
baseline,102,30,155,5.1667,3.2279,13.1,3.2279,,0
baseline,103,30,148,4.9333,3.005,12.96,3.005,,0
baseline,104,30,146,4.8667,2.9447,12.92,2.9447,,0
baseline,105,30,145,4.8333,2.9253,12.9,2.9253,,0
baseline,106,30,142,4.7333,2.7156,12.84,2.7156,,0
baseline,107,30,153,5.1,3.2521,13.06,3.2521,,0
baseline,108,30,154,5.1333,2.968,13.08,2.968,,0
baseline,109,30,145,4.8333,3.0859,12.9,3.0859,,0
baseline,110,30,139,4.6333,2.6972,12.78,2.6972,,0
baseline,111,30,138,4.6,2.8357,12.76,2.8357,,0
baseline,112,30,158,5.2667,2.864,13.16,2.864,,0
baseline,113,30,126,4.2,2.7842,12.52,2.7842,,0
baseline,114,30,153,5.1,2.9285,13.06,2.9285,,0
baseline,115,30,151,5.0333,2.9883,13.02,2.9883,,0
baseline,116,30,150,5,3.184,13.0,3.184,,0
baseline,117,30,158,5.2667,2.5042,13.16,2.5042,,0
baseline,118,30,141,4.7,3.1089,12.82,3.1089,,0
baseline,119,30,150,5,2.8768,13.0,2.8768,,0
baseline,120,30,141,4.7,2.8905,12.82,2.8905,,0
baseline,121,30,149,4.9667,3.2322,12.98,3.2322,,0
baseline,122,30,156,5.2,2.9758,13.12,2.9758,,0
baseline,123,30,149,4.9667,2.7353,12.98,2.7353,,0
baseline,124,30,135,4.5,2.8497,12.7,2.8497,,0
baseline,125,30,140,4.6667,2.9866,12.8,2.9866,,0
baseline,126,30,146,4.8667,2.9447,12.92,2.9447,,0
baseline,127,30,153,5.1,3.0098,13.06,3.0098,,0
baseline,128,30,165,5.5,2.8376,13.3,2.8376,,0
baseline,129,30,148,4.9333,2.5452,12.96,2.5452,,0
baseline,130,30,136,4.5333,3.1484,12.72,3.1484,,0
baseline,131,30,141,4.7,2.7436,12.82,2.7436,,0
baseline,132,30,147,4.9,3.2094,12.94,3.2094,,0
baseline,133,30,164,5.4667,2.8495,13.28,2.8495,,0
baseline,134,30,163,5.4333,3.059,13.26,3.059,,0
baseline,135,30,150,5,3.04,13.0,3.04,,0
baseline,136,30,153,5.1,2.6955,13.06,2.6955,,0
baseline,137,30,155,5.1667,2.5063,13.1,2.5063,,0
baseline,138,30,153,5.1,2.9752,13.06,2.9752,,0
baseline,139,30,126,4.2,2.538,12.52,2.538,,0
baseline,140,30,155,5.1667,2.7175,13.1,2.7175,,0
baseline,141,30,149,4.9667,2.6193,12.98,2.6193,,0
baseline,142,30,131,4.3667,2.8465,12.62,2.8465,,0
baseline,143,30,129,4.3,2.8786,12.58,2.8786,,0
baseline,144,30,142,4.7333,2.6121,12.84,2.6121,,0
baseline,145,30,148,4.9333,2.8031,12.96,2.8031,,0
baseline,146,30,152,5.0667,2.6121,13.04,2.6121,,0
baseline,147,30,153,5.1,2.9868,13.06,2.9868,,0
baseline,148,30,142,4.7333,2.6773,12.84,2.6773,,0
baseline,149,30,141,4.7,3.0189,12.82,3.0189,,0
baseline,150,30,150,5,2.8406,13.0,2.8406,,0
baseline,151,30,146,4.8667,2.7131,12.92,2.7131,,0
baseline,152,30,140,4.6667,2.808,12.8,2.808,,0
baseline,153,30,163,5.4333,2.8246,13.26,2.8246,,0
baseline,154,30,156,5.2,2.8816,13.12,2.8816,,0
baseline,155,30,155,5.1667,3.0635,13.1,3.0635,,0
baseline,156,30,155,5.1667,2.7048,13.1,2.7048,,0
baseline,157,30,154,5.1333,2.9447,13.08,2.9447,,0
baseline,158,30,143,4.7667,2.8246,12.86,2.8246,,0
baseline,159,30,135,4.5,2.8254,12.7,2.8254,,0
baseline,160,30,137,4.5667,2.7503,12.74,2.7503,,0
baseline,161,30,161,5.3667,2.9064,13.22,2.9064,,0
baseline,162,30,154,5.1333,2.9094,13.08,2.9094,,0
baseline,163,30,136,4.5333,2.7004,12.72,2.7004,,0
baseline,164,30,137,4.5667,2.9324,12.74,2.9324,,0
baseline,165,30,141,4.7,2.8786,12.82,2.8786,,0
baseline,166,30,140,4.6667,2.4542,12.8,2.4542,,0
baseline,167,30,154,5.1333,2.6357,13.08,2.6357,,0
baseline,168,30,139,4.6333,2.8945,12.78,2.8945,,0
baseline,169,30,151,5.0333,2.6585,13.02,2.6585,,0
baseline,170,30,142,4.7333,2.3771,12.84,2.3771,,0
baseline,171,30,149,4.9667,2.4422,12.98,2.4422,,0
baseline,172,30,136,4.5333,2.8975,12.72,2.8975,,0
baseline,173,30,143,4.7667,2.7378,12.86,2.7378,,0
baseline,174,30,146,4.8667,2.5829,12.92,2.5829,,0
baseline,175,30,141,4.7,2.818,12.82,2.818,,0
baseline,176,30,138,4.6,3.1028,12.76,3.1028,,0
baseline,177,30,151,5.0333,3.1237,13.02,3.1237,,0
baseline,178,30,157,5.2333,2.979,13.14,2.979,,0
baseline,179,30,137,4.5667,2.979,12.74,2.979,,0
baseline,180,30,155,5.1667,3.0635,13.1,3.0635,,0
baseline,181,30,134,4.4667,3.0027,12.68,3.0027,,0
baseline,182,30,130,4.3333,2.6824,12.6,2.6824,,0
baseline,183,30,150,5,2.9942,13.0,2.9942,,0
baseline,184,30,137,4.5667,2.9674,12.74,2.9674,,0
baseline,185,30,153,5.1,3.0439,13.06,3.0439,,0
baseline,186,30,163,5.4333,3.025,13.26,3.025,,0
