condition,round_id,num_agents,total_contribution,average_contribution,std_contribution,average_payoff,std_payoff,average_prediction_error,num_predictions
llm_tom_mixed,1,30,182,6.0667,2.5316,13.64,2.5316,1.8931,290
llm_tom_mixed,2,30,157,5.2333,2.873,13.14,2.873,1.5172,290
llm_tom_mixed,3,30,155,5.1667,2.6008,13.1,2.6008,1.5414,290
llm_tom_mixed,4,30,165,5.5,2.5155,13.3,2.5155,1.0717,290
llm_tom_mixed,5,30,174,5.8,2.4969,13.48,2.4969,0.9034,290
llm_tom_mixed,6,30,157,5.2333,2.5008,13.14,2.5008,0.8407,290
llm_tom_mixed,7,30,169,5.6333,2.4138,13.38,2.4138,1.0154,265
llm_tom_mixed,8,30,162,5.4,2.2221,13.24,2.2221,0.6161,290
llm_tom_mixed,9,30,156,5.2,2.4269,13.12,2.4269,1.0135,290
llm_tom_mixed,10,30,158,5.2667,2.6644,13.16,2.6644,1.1807,290
llm_tom_mixed,11,30,157,5.2333,2.1605,13.14,2.1605,0.7804,290
llm_tom_mixed,12,30,162,5.4,2.2376,13.24,2.2376,0.8513,290
llm_tom_mixed,13,30,155,5.1667,2.52,13.1,2.52,1.3321,290
llm_tom_mixed,14,30,149,4.9667,2.1413,12.98,2.1413,0.7193,290
llm_tom_mixed,15,30,169,5.6333,2.5795,13.38,2.5795,1.2002,290
llm_tom_mixed,16,30,154,5.1333,2.345,13.08,2.345,1.0472,290
llm_tom_mixed,17,30,164,5.4667,2.8374,13.28,2.8374,0.9104,290
llm_tom_mixed,18,30,143,4.7667,2.3879,12.86,2.3879,0.896,290
llm_tom_mixed,19,30,149,4.9667,2.6193,12.98,2.6193,1.1702,290
llm_tom_mixed,20,30,173,5.7667,2.5282,13.46,2.5282,1.0067,290
llm_tom_mixed,21,30,161,5.3667,2.498,13.22,2.498,1.1036,290
llm_tom_mixed,22,30,146,4.8667,2.5829,12.92,2.5829,1.121,290
llm_tom_mixed,23,30,157,5.2333,2.3442,13.14,2.3442,0.9054,290
llm_tom_mixed,24,30,159,5.3,2.4934,13.18,2.4934,1.0865,290
llm_tom_mixed,25,30,153,5.1,2.7209,13.06,2.7209,0.9461,290
llm_tom_mixed,26,30,160,5.3333,2.1867,13.2,2.1867,1.0281,290
llm_tom_mixed,27,30,157,5.2333,2.622,13.14,2.622,0.9441,290
llm_tom_mixed,28,30,152,5.0667,2.7029,13.04,2.7029,1.0371,290
llm_tom_mixed,29,30,149,4.9667,2.4138,12.98,2.4138,0.7833,290
llm_tom_mixed,30,30,157,5.2333,2.5008,13.14,2.5008,0.7708,290
llm_tom_mixed,31,30,152,5.0667,2.0833,13.04,2.0833,0.9169,290
llm_tom_mixed,32,30,159,5.3,2.2614,13.18,2.2614,0.6371,290
llm_tom_mixed,33,30,154,5.1333,2.345,13.08,2.345,1.0214,290
llm_tom_mixed,34,30,171,5.7,2.409,13.42,2.409,0.9056,290
llm_tom_mixed,35,30,158,5.2667,2.2884,13.16,2.2884,0.8858,290
llm_tom_mixed,36,30,170,5.6667,2.4401,13.4,2.4401,0.9675,290
llm_tom_mixed,37,30,155,5.1667,2.4366,13.1,2.4366,0.8608,290
llm_tom_mixed,38,30,167,5.5667,2.4731,13.34,2.4731,1.1012,290
llm_tom_mixed,39,30,163,5.4333,2.4309,13.26,2.4309,0.8821,290
llm_tom_mixed,40,30,152,5.0667,2.4626,13.04,2.4626,1.1982,290
llm_tom_mixed,41,30,160,5.3333,2.808,13.2,2.808,1.0571,290
llm_tom_mixed,42,30,164,5.4667,2.4174,13.28,2.4174,1.0943,290
