condition,agent_id,agent_type,average_contribution,std_contribution,average_payoff,std_payoff,average_prediction_error,num_predictions,num_api_errors
llm_tom_mixed,A001,LLMAgent_tom,5.8625,0.7753,12.5208,0.8203,0.9451,2303,79
llm_tom_mixed,A002,LLMAgent_tom,5.875,0.7356,12.5083,0.7959,0.9626,2295,79
llm_tom_mixed,A003,LLMAgent_tom,5.9625,0.7368,12.4208,0.8181,0.9599,2294,79
llm_tom_mixed,A004,LLMAgent_tom,5.975,0.7287,12.4083,0.806,0.96,2320,80
llm_tom_mixed,A005,LLMAgent_tom,6.0375,0.7016,12.3458,0.748,0.961,2320,80
llm_tom_mixed,A006,LLMAgent_tom,6.075,0.6708,12.3083,0.7428,0.962,2320,80
llm_tom_mixed,A007,BeliefBasedAgent,5.975,0.7459,12.4083,0.7803,0.9587,2320,0
llm_tom_mixed,A008,ConditionalAgent,5,0.8113,13.3833,0.8885,,0,0
llm_tom_mixed,A009,TitForTatAgent,5.1625,0.3712,13.2208,0.4954,,0,0
llm_tom_mixed,A010,CooperatorAgent,8.4,1.1318,9.9833,1.1839,,0,0
llm_tom_mixed,A011,DefectorAgent,0.8875,0.8112,17.4958,0.7803,,0,0
llm_tom_mixed,A012,RandomAgent,4.9625,2.9141,13.4208,2.7266,,0,0
llm_tom_mixed,A013,BeliefBasedAgent,6.0875,0.6971,12.2958,0.822,0.9603,2320,0
llm_tom_mixed,A014,ConditionalAgent,4.9625,0.6833,13.4208,0.7553,,0,0
llm_tom_mixed,A015,TitForTatAgent,5.15,0.3593,13.2333,0.489,,0,0
llm_tom_mixed,A016,CooperatorAgent,8.425,1.0998,9.9583,1.105,,0,0
llm_tom_mixed,A017,DefectorAgent,1.125,0.8476,17.2583,0.982,,0,0
llm_tom_mixed,A018,RandomAgent,4.75,3.2237,13.6333,3.1002,,0,0
llm_tom_mixed,A019,BeliefBasedAgent,6.075,0.7425,12.3083,0.7955,0.9584,2320,0
llm_tom_mixed,A020,ConditionalAgent,5,0.6936,13.3833,0.7686,,0,0
llm_tom_mixed,A021,TitForTatAgent,5.1875,0.4798,13.1958,0.577,,0,0
llm_tom_mixed,A022,CooperatorAgent,8.3125,1.0744,10.0708,1.0924,,0,0
llm_tom_mixed,A023,DefectorAgent,1,0.7956,17.3833,0.776,,0,0
llm_tom_mixed,A024,RandomAgent,4.75,2.936,13.6333,2.7325,,0,0
llm_tom_mixed,A025,BeliefBasedAgent,6.025,0.7627,12.3583,0.7398,0.9584,2320,0
llm_tom_mixed,A026,ConditionalAgent,5.0625,0.832,13.3208,0.864,,0,0
llm_tom_mixed,A027,TitForTatAgent,5.15,0.3593,13.2333,0.489,,0,0
llm_tom_mixed,A028,CooperatorAgent,8.3875,1.1528,9.9958,1.1789,,0,0
llm_tom_mixed,A029,DefectorAgent,0.8625,0.8073,17.5208,0.9367,,0,0
llm_tom_mixed,A030,RandomAgent,4.7,3.0122,13.6833,2.9324,,0,0
