condition,agent_id,agent_type,average_contribution,std_contribution,average_payoff,std_payoff,average_prediction_error,num_predictions,num_api_errors
baseline,A001,CooperatorAgent,8.46,1.1066,9.3472,1.1774,,0,0
baseline,A002,DefectorAgent,1.035,0.8229,16.7722,0.9271,,0,0
baseline,A003,TitForTatAgent,4.885,0.4155,12.9222,0.574,,0,0
baseline,A004,RandomAgent,5.155,3.1577,12.6522,2.9679,,0,0
baseline,A005,ConditionalAgent,4.955,0.7319,12.8522,0.8268,,0,0
baseline,A006,CooperatorAgent,8.42,1.1314,9.3872,1.2072,,0,0
baseline,A007,DefectorAgent,0.99,0.8205,16.8172,0.9222,,0,0
baseline,A008,TitForTatAgent,4.89,0.4228,12.9172,0.5768,,0,0
baseline,A009,RandomAgent,4.755,3.2508,13.0522,3.065,,0,0
baseline,A010,ConditionalAgent,5.075,0.7084,12.7322,0.8314,,0,0
baseline,A011,CooperatorAgent,8.665,1.1221,9.1422,1.1501,,0,0
baseline,A012,DefectorAgent,0.98,0.7891,16.8272,0.9378,,0,0
baseline,A013,TitForTatAgent,4.885,0.4155,12.9222,0.574,,0,0
baseline,A014,RandomAgent,4.945,3.3433,12.8622,3.2433,,0,0
baseline,A015,ConditionalAgent,4.995,0.7053,12.8122,0.8463,,0,0
baseline,A016,CooperatorAgent,8.445,1.1284,9.3622,1.1579,,0,0
baseline,A017,DefectorAgent,1,0.8447,16.8072,0.9246,,0,0
baseline,A018,TitForTatAgent,4.9,0.4702,12.9072,0.6074,,0,0
baseline,A019,RandomAgent,5.055,3.1016,12.7522,2.9666,,0,0
baseline,A020,ConditionalAgent,5.055,0.7648,12.7522,0.9281,,0,0
baseline,A021,CooperatorAgent,8.47,1.1204,9.3372,1.1457,,0,0
baseline,A022,DefectorAgent,1.085,0.8069,16.7222,0.9443,,0,0
baseline,A023,TitForTatAgent,4.885,0.4155,12.9222,0.574,,0,0
baseline,A024,RandomAgent,5.1,3.346,12.7072,3.1463,,0,0
baseline,A025,ConditionalAgent,4.99,0.7568,12.8172,0.9101,,0,0
baseline,A026,CooperatorAgent,8.53,1.1294,9.2772,1.1562,,0,0
baseline,A027,DefectorAgent,1.005,0.8236,16.8022,0.9394,,0,0
baseline,A028,TitForTatAgent,4.895,0.4415,12.9122,0.588,,0,0
baseline,A029,RandomAgent,4.855,3.263,12.9522,3.1271,,0,0
baseline,A030,ConditionalAgent,5.025,0.7531,12.7822,0.8609,,0,0
