condition,agent_id,agent_type,average_contribution,std_contribution,average_payoff,std_payoff,average_prediction_error,num_predictions,num_api_errors
belief_mixed,A001,BeliefBasedAgent,2.14,0.967,10.9192,0.7219,0.5592,5800,0
belief_mixed,A002,BeliefBasedAgent,2.13,0.87,10.9292,0.7606,0.5617,5800,0
belief_mixed,A003,ConditionalAgent,2.115,1.033,10.9442,0.8195,,0,0
belief_mixed,A004,TitForTatAgent,2.135,0.5553,10.9242,0.2775,,0,0
belief_mixed,A005,DefectorAgent,1.085,0.8131,11.9742,1.1267,,0,0
belief_mixed,A006,BeliefBasedAgent,2.1,0.9823,10.9592,0.7143,0.5588,5800,0
belief_mixed,A007,BeliefBasedAgent,2.2,0.9975,10.8592,0.7941,0.5589,5800,0
belief_mixed,A008,ConditionalAgent,2.115,0.9573,10.9442,0.744,,0,0
belief_mixed,A009,TitForTatAgent,2.13,0.5142,10.9292,0.2951,,0,0
belief_mixed,A010,DefectorAgent,0.955,0.7654,12.1042,1.0601,,0,0
belief_mixed,A011,BeliefBasedAgent,2.165,0.9604,10.8942,0.787,0.5588,5800,0
belief_mixed,A012,BeliefBasedAgent,2.125,0.9239,10.9342,0.7428,0.5607,5800,0
belief_mixed,A013,ConditionalAgent,2.155,0.9302,10.9042,0.7773,,0,0
belief_mixed,A014,TitForTatAgent,2.13,0.5142,10.9292,0.2951,,0,0
belief_mixed,A015,DefectorAgent,1.03,0.8442,12.0292,1.1685,,0,0
belief_mixed,A016,BeliefBasedAgent,2.12,0.9645,10.9392,0.709,0.5602,5800,0
belief_mixed,A017,BeliefBasedAgent,2.215,0.9661,10.8442,0.6792,0.5607,5800,0
belief_mixed,A018,ConditionalAgent,2.13,0.9095,10.9292,0.7736,,0,0
belief_mixed,A019,TitForTatAgent,2.14,0.6018,10.9192,0.2775,,0,0
belief_mixed,A020,DefectorAgent,0.945,0.8399,12.1142,1.0688,,0,0
belief_mixed,A021,BeliefBasedAgent,2.165,0.9964,10.8942,0.6657,0.5615,5800,0
belief_mixed,A022,BeliefBasedAgent,2.135,0.9387,10.9242,0.7414,0.5622,5800,0
belief_mixed,A023,ConditionalAgent,2.1,0.9924,10.9592,0.8239,,0,0
belief_mixed,A024,TitForTatAgent,2.14,0.6018,10.9192,0.2775,,0,0
belief_mixed,A025,DefectorAgent,1.01,0.8144,12.0492,1.102,,0,0
belief_mixed,A026,BeliefBasedAgent,2.15,0.9655,10.9092,0.7618,0.5604,5800,0
belief_mixed,A027,BeliefBasedAgent,2.205,0.8927,10.8542,0.7088,0.5615,5800,0
belief_mixed,A028,ConditionalAgent,2.09,0.9253,10.9692,0.7611,,0,0
belief_mixed,A029,TitForTatAgent,2.135,0.5553,10.9242,0.2775,,0,0
belief_mixed,A030,DefectorAgent,0.97,0.8442,12.0892,1.0948,,0,0
